,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
1173,Union Berlin,Bundesliga,HUN,Midfilder,"1,197,000",23,117,20,137
1174,Montpellier,Ligue 1 Uber Eats,FRA,Forward,"1,186,000",32,356,0,356
1175,Sporting CP,Primiera Liga,ESP,Defender,"1,184,000",27,214,4,218
1176,Hoffenheim,Bundesliga,GER,Midfilder,"1,182,000",24,105,0,105
1177,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,"1,178,000",32,326,4,330
1178,A. Bilbao,La Liga,ESP,Midfilder,"1,177,000",21,130,0,130
1179,Sporting CP,Primiera Liga,ENG,Forward,"1,171,000",23,120,0,120
1180,Brighton,Premier League,POL,Midfilder,"1,170,000",23,173,20,193
1181,OGC Nice,Ligue 1 Uber Eats,NED,Defender,"1,169,000",25,220,1,221
1182,Sevilla,La Liga,ESP,Midfilder,"1,163,000",27,252,0,252
1183,Sevilla,La Liga,MEX,Defender,"1,163,000",29,298,71,369
1184,Schalke 04,Bundesliga,GER,Midfilder,"1,161,000",32,376,0,376
1185,Schalke 04,Bundesliga,URU,Midfilder,"1,161,000",23,88,0,88
1186,Mainz 05,Bundesliga,GER,Defender,"1,161,000",28,224,0,224
1187,Schalke 04,Bundesliga,GER,Midfilder,"1,161,000",32,354,0,354
1188,Schalke 04,Bundesliga,GER,Midfilder,"1,161,000",29,270,0,270
1189,Bayer 04,Bundesliga,NED,Defender,"1,161,000",24,64,3,67
1190,Atletico Pamplona,La Liga,ESP,Goalkeeper,"1,141,000",31,362,0,362
1191,Villarreal,La Liga,NGA,Midfilder,"1,141,000",23,139,24,163
1192,Real Hispalis,La Liga,ESP,Forward,"1,138,000",29,294,1,295
1193,Eintracht Frankfurt,Bundesliga,COL,Forward,"1,137,000",26,180,20,200
1194,Montpellier,Ligue 1 Uber Eats,FRA,Defender,"1,135,000",32,309,29,338
1195,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,"1,134,000",24,123,0,123
1196,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,"1,134,000",34,377,0,377
1197,Salento,Serie A,FRA,Forward,"1,134,000",25,185,0,185
1198,Rennes,Ligue 1 Uber Eats,FRA,Forward,"1,127,000",22,84,0,84
1199,Brentford,Premier League,DEN,Defender,"1,121,000",32,340,35,375
1200,Sampdoria,Serie A,ITA,Defender,"1,121,000",27,217,0,217
1201,Sassuolo,Serie A,BRA,Defender,"1,121,000",24,117,0,117
1202,Hertha Berlin,Bundesliga,GER,Forward,"1,121,000",31,351,0,351
1203,VfB Stuttgart,Bundesliga,GRE,Defender,"1,121,000",24,92,13,105
1204,Salento,Serie A,MAR,Midfilder,"1,121,000",24,120,0,120
1205,Fiorentina,Serie A,ITA,Goalkeeper,"1,121,000",35,446,28,474
1206,Sassuolo,Serie A,ITA,Midfilder,"1,121,000",22,149,3,152
1207,Brighton,Premier League,GER,Forward,"1,121,000",26,220,0,220
1208,Rennes,Ligue 1 Uber Eats,FRA,Forward,"1,121,000",20,69,0,69
1209,Milan,Serie A,ITA,Goalkeeper,"1,121,000",39,418,0,418
1210,Verona,Serie A,ITA,Forward,"1,121,000",30,386,7,393
1211,Mainz 05,Bundesliga,AUT,Forward,"1,118,000",30,332,18,350
1212,Mainz 05,Bundesliga,DEN,Forward,"1,118,000",26,190,1,191
1213,Empoli,Serie A,ITA,Defender,"1,116,000",25,134,0,134
1214,A. Bilbao,La Liga,ESP,Defender,"1,116,000",27,269,0,269
1215,Udinese,Serie A,MKD,Forward,"1,116,000",32,344,46,390
1216,Verona,Serie A,BIH,Forward,"1,116,000",32,410,15,425
1217,Almeria,La Liga,COL,Forward,"1,107,000",24,219,3,222
1218,Real San Sebastian,La Liga,ESP,Midfilder,"1,104,000",20,80,0,80
1219,Sampdoria,Serie A,SRB,Midfilder,"1,104,000",30,298,35,333
1220,Fiorentina,Serie A,ARG,Defender,"1,103,000",26,105,11,116
1221,Atalanta,Serie A,DEN,Defender,"1,103,000",25,179,29,208
1222,Milan,Serie A,SEN,Defender,"1,103,000",25,118,13,131
1223,Torino,Serie A,ITA,Forward,"1,103,000",21,49,1,50
1224,OM,Ligue 1 Uber Eats,UKR,Midfilder,"1,103,000",29,313,49,362
1225,Udinese,Serie A,ESP,Forward,"1,103,000",28,292,4,296
1226,Spezia,Serie A,NED,Goalkeeper,"1,103,000",31,293,11,304
1227,Milan,Serie A,BEL,Defender,"1,103,000",23,141,9,150
1228,Lazio,Serie A,POR,Goalkeeper,"1,103,000",23,66,0,66
1229,Udinese,Serie A,ARG,Defender,"1,103,000",31,342,19,361
1230,Fiorentina,Serie A,ITA,Forward,"1,103,000",30,269,0,269
1231,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,"1,096,000",21,86,0,86
1232,R. Madrid,La Liga,UKR,Goalkeeper,"1,090,000",23,77,7,84
1233,A. Madrid,La Liga,ARG,Defender,"1,090,000",24,112,17,129
1234,FC Nantes,Ligue 1 Uber Eats,EGY,Forward,"1,087,000",24,148,21,169
1235,Brianza,Serie A,ITA,Defender,"1,086,000",31,252,0,252
1236,Brianza,Serie A,ITA,Defender,"1,086,000",27,257,0,257
1237,OGC Nice,Ligue 1 Uber Eats,FRA,Defender,"1,078,000",22,81,0,81
1238,Sporting CP,Primiera Liga,POR,Defender,"1,077,000",34,293,19,312
1239,FC Augsburg,Bundesliga,AUT,Midfilder,"1,076,000",34,348,84,432
1240,FC Augsburg,Bundesliga,GER,Midfilder,"1,075,000",24,156,0,156
1241,VfB Stuttgart,Bundesliga,GER,Defender,"1,075,000",26,205,0,205
1242,Vigo,La Liga,ESP,Midfilder,"1,070,000",24,149,2,151
1243,Sporting CP,Primiera Liga,POR,Forward,"1,069,000",29,334,3,337
1244,Udinese,Serie A,MAR,Defender,"1,069,000",28,219,16,235
1245,Real Hispalis,La Liga,POR,Goalkeeper,"1,053,000",28,183,1,184
1246,Rennes,Ligue 1 Uber Eats,BEL,Defender,"1,052,000",22,73,3,76
1247,Parthenope,Serie A,NOR,Defender,"1,052,000",22,136,5,141
1248,Everton,Premier League,POR,Defender,"1,051,000",23,82,0,82
1249,Benfica,Primiera Liga,POR,Midfilder,"1,051,000",23,130,0,130
1250,Villarreal,La Liga,ESP,Defender,"1,050,000",30,232,4,236
1251,Villarreal,La Liga,ESP,Midfilder,"1,050,000",30,423,0,423
1252,Sampdoria,Serie A,NED,Forward,"1,048,000",25,148,0,148
1253,AS Monaco,Ligue 1 Uber Eats,MLI,Midfilder,"1,047,000",22,99,15,114
1254,Brentford,Premier League,DEN,Defender,"1,040,000",23,64,0,64
1255,Nottm Forest,Premier League,FRA,Defender,"1,040,000",22,80,0,80
1256,Man City,Premier League,GER,Goalkeeper,"1,040,000",29,266,0,266
1257,Leeds,Premier League,ITA,Forward,"1,040,000",18,65,4,69
1258,Nottm Forest,Premier League,ENG,Defender,"1,040,000",32,368,0,368
1259,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,"1,040,000",27,228,0,228
1260,Aston Villa,Premier League,ENG,Goalkeeper,"1,040,000",29,120,0,120
1261,Nottm Forest,Premier League,WAL,Goalkeeper,"1,040,000",35,322,104,426
1262,Girona,La Liga,VEN,Midfilder,"1,040,000",24,171,25,196
1263,Chelsea,Premier League,USA,Goalkeeper,"1,040,000",18,43,0,43
1264,Leicester,Premier League,DEN,Goalkeeper,"1,040,000",25,151,0,151
1265,Brighton,Premier League,JPN,Midfilder,"1,040,000",25,151,7,158
1266,Leeds,Premier League,ENG,Midfilder,"1,040,000",20,13,0,13
1267,Angers SCO,Ligue 1 Uber Eats,TUN,Defender,"1,040,000",23,51,0,51
1268,AJ Auxerre,Ligue 1 Uber Eats,SCO,Midfilder,"1,040,000",25,183,0,183
1269,Capitoline,Serie A,SRB,Goalkeeper,"1,037,000",23,62,1,63
1270,Valencia,La Liga,BRA,Forward,"1,036,000",22,115,0,115
1271,Hoffenheim,Bundesliga,FRA,Defender,"1,035,000",23,85,0,85
1272,Hoffenheim,Bundesliga,USA,Defender,"1,035,000",29,284,43,327
1273,Empoli,Serie A,URU,Forward,"1,035,000",21,24,1,25
1274,Sevilla,La Liga,NED,Defender,"1,035,000",27,200,4,204
1275,FC Augsburg,Bundesliga,NED,Defender,"1,035,000",31,318,0,318
1276,Getafe,La Liga,SRB,Midfilder,"1,034,000",27,242,39,281
1277,Union Berlin,Bundesliga,GER,Defender,"1,032,000",30,325,0,325
1278,VfL Wolfsburg,Bundesliga,AUT,Goalkeeper,"1,032,000",34,266,7,273
1279,AS Monaco,Ligue 1 Uber Eats,NED,Forward,"1,032,000",21,111,1,112
1280,1. FC Koln,Bundesliga,AUT,Midfilder,"1,032,000",29,344,20,364
1281,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,"1,032,000",30,293,0,293
1282,Bayer 04,Bundesliga,FRA,Forward,"1,032,000",22,64,0,64
1283,Schalke 04,Bundesliga,POL,Defender,"1,032,000",30,279,7,286
1284,Sevilla,La Liga,FRA,Defender,"1,032,000",22,54,0,54
1285,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,"1,032,000",23,59,0,59
1286,Rennes,Ligue 1 Uber Eats,NOR,Defender,"1,032,000",27,206,22,228
1287,Mallorca,La Liga,ZIM,Forward,"1,032,000",26,162,22,184
1288,BVT,Primiera Liga,USA,Defender,"1,032,000",24,123,27,150
1289,Borussia M'gladbach,Bundesliga,GER,Defender,"1,032,000",32,257,0,257
1290,Borussia Dortmund,Bundesliga,NOR,Defender,"1,032,000",24,185,11,196
1291,Angers SCO,Ligue 1 Uber Eats,FRA,Goalkeeper,"1,031,000",25,186,0,186
1292,Eintracht Frankfurt,Bundesliga,GER,Defender,"1,031,000",28,288,3,291
1293,FC Lorient,Ligue 1 Uber Eats,GER,Goalkeeper,"1,031,000",28,140,0,140
1294,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,"1,028,000",24,78,0,78
1295,Mallorca,La Liga,SRB,Goalkeeper,"1,022,000",26,275,28,303
1296,Real San Sebastian,La Liga,NGA,Forward,"1,017,000",25,158,7,165
1297,Sevilla,La Liga,BRA,Defender,"1,017,000",26,183,0,183
1298,A. Bilbao,La Liga,ESP,Midfilder,"1,004,000",22,85,0,85
1299,A. Bilbao,La Liga,ESP,Defender,"1,004,000",27,231,0,231
1300,AS Monaco,Ligue 1 Uber Eats,BRA,Defender,"1,003,000",21,60,0,60
1301,Espanyol,La Liga,MEX,Defender,"1,003,000",25,234,26,260
1302,Villarreal,La Liga,ALG,Defender,"998,000",30,331,76,407
1303,Spezia,Serie A,POL,Defender,"991,000",27,236,15,251
1304,Lazio,Serie A,BRA,Midfilder,"991,000",22,76,0,76
1305,Vigo,La Liga,ESP,Defender,"987,000",29,195,0,195
1306,Eintracht Frankfurt,Bundesliga,DEN,Forward,"986,000",22,92,5,97
1307,Bologna,Serie A,AUT,Defender,"986,000",25,179,16,195
1308,Cadiz,La Liga,URU,Defender,"985,000",30,247,0,247
1309,Cadiz,La Liga,ESP,Midfilder,"985,000",29,353,0,353
1310,SV Werder,Bundesliga,SRB,Defender,"983,000",26,177,20,197
1311,Strasbourg,Ligue 1 Uber Eats,FRA,Forward,"980,000",35,502,13,515
1312,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,"977,000",28,292,0,292
1313,Lazio,Serie A,ITA,Midfilder,"977,000",20,12,1,13
1314,Vigo,La Liga,ESP,Defender,"976,000",23,79,1,80
1315,OGC Nice,Ligue 1 Uber Eats,NGA,Forward,"973,000",23,133,7,140
1316,Real San Sebastian,La Liga,ESP,Defender,"966,000",25,203,0,203
1317,Getafe,La Liga,ESP,Midfilder,"966,000",30,412,0,412
1318,Brianza,Serie A,DEN,Forward,"966,000",32,362,9,371
1319,Benfica,Primiera Liga,NOR,Forward,"964,000",18,55,0,55
1320,Sevilla,La Liga,ESP,Forward,"963,000",25,181,0,181
1321,Sevilla,La Liga,SRB,Goalkeeper,"963,000",30,234,19,253
1322,Sevilla,La Liga,ESP,Midfilder,"963,000",28,287,0,287
1323,Sevilla,La Liga,ESP,Midfilder,"963,000",28,253,5,258
1324,Cremonese,Serie A,ITA,Defender,"957,000",25,108,0,108
1325,Empoli,Serie A,ITA,Goalkeeper,"957,000",25,188,0,188
1326,Fiorentina,Serie A,ITA,Defender,"957,000",23,97,0,97
1327,Fiorentina,Serie A,ITA,Midfilder,"957,000",23,79,0,79
1328,Spezia,Serie A,MAR,Midfilder,"957,000",31,186,8,194
1329,Sampdoria,Serie A,NED,Defender,"957,000",32,314,0,314
1330,Atalanta,Serie A,ITA,Goalkeeper,"957,000",30,276,0,276
1331,Sassuolo,Serie A,ITA,Defender,"957,000",30,363,1,364
1332,Verona,Serie A,SRB,Defender,"957,000",31,370,23,393
1333,Empoli,Serie A,ITA,Midfilder,"957,000",27,192,0,192
1334,Verona,Serie A,ITA,Defender,"957,000",26,152,0,152
1335,A. Bilbao,La Liga,ESP,Midfilder,"953,000",32,430,0,430
1336,AC Ajaccio,Ligue 1 Uber Eats,ALG,Midfilder,"950,000",30,179,43,222
1337,OM,Ligue 1 Uber Eats,BIH,Defender,"948,000",29,218,49,267
1338,FC Augsburg,Bundesliga,CZE,Goalkeeper,"948,000",30,216,11,227
1339,Vallecano,La Liga,ESP,Midfilder,"947,000",29,353,0,353
1340,Verona,Serie A,ARG,Forward,"946,000",23,84,1,85
1341,Espanyol,La Liga,FRA,Defender,"946,000",24,106,0,106
1342,Villarreal,La Liga,ESP,Defender,"945,000",31,379,0,379
1343,Villarreal,La Liga,ESP,Midfilder,"945,000",21,76,0,76
1344,Salernitana,Serie A,SEN,Forward,"945,000",25,129,17,146
1345,Salernitana,Serie A,NED,Midfilder,"941,000",27,287,15,302
1346,Sassuolo,Serie A,EQG,Midfilder,"940,000",30,280,11,291
1347,FC Porto,Primiera Liga,ESP,Forward,"929,000",25,138,0,138
1348,Strasbourg,Ligue 1 Uber Eats,SEN,Forward,"929,000",27,220,14,234
1349,Real Hispalis,La Liga,SEN,Defender,"928,000",29,238,24,262
1350,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,"928,000",30,281,0,281
1351,Strasbourg,Ligue 1 Uber Eats,BEL,Goalkeeper,"928,000",30,278,2,280
1352,Angers SCO,Ligue 1 Uber Eats,FRA,Forward,"928,000",29,231,0,231
1353,Espanyol,La Liga,ESP,Goalkeeper,"923,000",30,335,0,335
1354,Espanyol,La Liga,DEN,Forward,"923,000",31,363,60,423
1355,Vigo,La Liga,ARG,Goalkeeper,"923,000",34,420,8,428
1356,Real Hispalis,La Liga,ESP,Defender,"921,000",26,202,0,202
1357,FC Porto,Primiera Liga,BRA,Forward,"920,000",20,49,0,49
1358,Udinese,Serie A,NGA,Defender,"917,000",27,192,0,192
1359,Udinese,Serie A,CMR,Defender,"917,000",23,53,0,53
1360,Brianza,Serie A,ITA,Defender,"914,000",32,220,0,220
1361,Brentford,Premier League,WAL,Defender,"910,000",19,22,0,22
1362,Sevilla,La Liga,ARG,Defender,"910,000",25,92,16,108
1363,Benfica,Primiera Liga,DEN,Defender,"908,000",24,185,3,188
1364,Getafe,La Liga,TUR,Forward,"903,000",25,257,27,284
1365,Getafe,La Liga,ESP,Goalkeeper,"903,000",29,230,0,230
1366,A. Bilbao,La Liga,ESP,Defender,"903,000",23,151,0,151
1367,A. Bilbao,La Liga,ESP,Midfilder,"903,000",29,268,0,268
1368,Sassuolo,Serie A,ITA,Defender,"902,000",23,86,0,86
1369,Montpellier,Ligue 1 Uber Eats,FRA,Goalkeeper,"898,000",31,291,0,291
1370,Atalanta,Serie A,ITA,Defender,"897,000",21,43,0,43
1371,RC Lens,Ligue 1 Uber Eats,FRA,Goalkeeper,"897,000",28,177,0,177
1372,Union Berlin,Bundesliga,NOR,Midfilder,"897,000",26,226,9,235
1373,Estoril Praia,Primiera Liga,POR,Forward,"897,000",25,221,0,221
1374,FC Augsburg,Bundesliga,GER,Midfilder,"897,000",23,117,0,117
1375,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,"897,000",22,92,0,92
1376,Union Berlin,Bundesliga,GER,Defender,"897,000",26,186,0,186
1377,Villarreal,La Liga,ESP,Defender,"893,000",22,139,0,139
1378,Villarreal,La Liga,SEN,Forward,"893,000",21,55,0,55
1379,Milan,Serie A,GER,Defender,"888,000",21,60,0,60
1380,Milan,Serie A,FRA,Midfilder,"888,000",22,101,0,101
1381,Cremonese,Serie A,SUI,Midfilder,"885,000",25,199,0,199
1382,Brianza,Serie A,ITA,Defender,"885,000",23,175,0,175
1383,Cremonese,Serie A,NGA,Forward,"885,000",25,159,0,159
1384,Salento,Serie A,ITA,Forward,"885,000",28,228,0,228
1385,Hertha Berlin,Bundesliga,CRO,Midfilder,"884,000",25,228,1,229
1386,RC Lens,Ligue 1 Uber Eats,ARG,Defender,"883,000",23,94,2,96
1387,Eintracht Frankfurt,Bundesliga,JPN,Defender,"881,000",38,513,114,627
1388,Cadiz,La Liga,ESP,Forward,"881,000",31,332,0,332
1389,Cadiz,La Liga,COD,Midfilder,"881,000",26,239,3,242
1390,Hertha Berlin,Bundesliga,CIV,Forward,"878,000",24,107,0,107
1391,Empoli,Serie A,ITA,Forward,"877,000",31,289,8,297
1392,FC Porto,Primiera Liga,POR,Defender,"876,000",23,83,0,83
1393,FC Nantes,Ligue 1 Uber Eats,FRA,Goalkeeper,"876,000",23,242,0,242
1394,Sporting CP,Primiera Liga,URU,Midfilder,"875,000",21,103,5,108
1395,A. Madrid,La Liga,CRO,Goalkeeper,"872,000",26,150,2,152
1396,SC Freiburg,Bundesliga,ITA,Midfilder,"862,000",29,278,6,284
1397,Bologna,Serie A,ITA,Defender,"862,000",22,104,0,104
1398,Borussia Dortmund,Bundesliga,GER,Defender,"862,000",24,74,0,74
1399,Hertha Berlin,Bundesliga,GER,Defender,"862,000",27,205,0,205
1400,FC Augsburg,Bundesliga,BRA,Defender,"862,000",25,104,0,104
1401,Union Berlin,Bundesliga,DEN,Goalkeeper,"862,000",30,208,8,216
1402,VfL Bochum,Bundesliga,UKR,Defender,"862,000",30,190,12,202
1403,Union Berlin,Bundesliga,FRA,Defender,"860,000",29,248,0,248
1404,VfL Wolfsburg,Bundesliga,USA,Defender,"860,000",19,48,0,48
1405,Mainz 05,Bundesliga,NOR,Defender,"860,000",25,193,12,205
1406,Union Berlin,Bundesliga,AUT,Defender,"860,000",35,421,23,444
1407,Bayer 04,Bundesliga,RUS,Goalkeeper,"860,000",30,152,7,159
1408,Union Berlin,Bundesliga,GER,Midfilder,"860,000",28,271,0,271
1409,Schalke 04,Bundesliga,GER,Midfilder,"860,000",21,70,0,70
1410,Mainz 05,Bundesliga,GER,Defender,"860,000",24,92,0,92
1411,Verona,Serie A,NED,Defender,"860,000",24,148,0,148
1412,Schalke 04,Bundesliga,NED,Defender,"860,000",25,138,0,138
1413,Union Berlin,Bundesliga,GER,Forward,"860,000",21,82,0,82
1414,Schalke 04,Bundesliga,AUT,Defender,"860,000",21,78,0,78
1415,Schalke 04,Bundesliga,SUI,Defender,"860,000",28,249,0,249
1416,AS Monaco,Ligue 1 Uber Eats,BRA,Midfilder,"859,000",24,102,0,102
1417,1. FC Koln,Bundesliga,GHA,Midfilder,"859,000",29,247,0,247
1418,Borussia Dortmund,Bundesliga,ESP,Defender,"859,000",22,21,0,21
1419,Hoffenheim,Bundesliga,NGA,Defender,"859,000",27,216,4,220
1420,Verona,Serie A,SVK,Midfilder,"859,000",27,238,59,297
1421,SC Freiburg,Bundesliga,AUT,Forward,"859,000",28,355,39,394
1422,Benfica,Primiera Liga,BRA,Defender,"858,000",21,62,0,62
1423,Getafe,La Liga,TOG,Defender,"858,000",30,263,67,330
1424,Getafe,La Liga,URU,Midfilder,"858,000",26,218,12,230
1425,A. Bilbao,La Liga,ESP,Defender,"853,000",30,318,0,318
1426,Atletico Pamplona,La Liga,ESP,Midfilder,"845,000",29,335,0,335
1427,Benfica,Primiera Liga,BRA,Defender,"839,000",29,182,0,182
1428,Benfica,Primiera Liga,SRB,Defender,"832,000",26,181,9,190
1429,Brighton,Premier League,ENG,Goalkeeper,"832,000",32,272,0,272
1430,Espanyol,La Liga,ESP,Defender,"831,000",30,291,0,291
1431,Sporting CP,Primiera Liga,POR,Defender,"830,000",21,53,0,53
1432,Cadiz,La Liga,ESP,Forward,"830,000",37,593,21,614
1433,Cadiz,La Liga,HON,Forward,"830,000",29,354,40,394
1434,Valladolid,La Liga,ESP,Forward,"830,000",33,356,0,356
1435,Elche,La Liga,ESP,Defender,"830,000",30,328,0,328
1436,FC Augsburg,Bundesliga,GER,Midfilder,"829,000",24,187,0,187
1437,Benfica,Primiera Liga,DEN,Forward,"829,000",22,77,0,77
1438,Sassuolo,Serie A,URU,Forward,"828,000",21,67,4,71
1439,Benfica,Primiera Liga,CRO,Forward,"827,000",24,149,0,149
1440,Reims,Ligue 1 Uber Eats,MAR,Defender,"825,000",34,319,10,329
1441,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,"825,000",24,211,0,211
1442,Strasbourg,Ligue 1 Uber Eats,CIV,Midfilder,"825,000",28,196,2,198
1443,Real Hispalis,La Liga,MEX,Midfilder,"824,000",35,475,175,650
1444,Inter,Serie A,ITA,Defender,"818,000",22,63,0,63
1445,FC Porto,Primiera Liga,CAN,Midfilder,"818,000",25,202,24,226
1446,Schalke 04,Bundesliga,FIN,Defender,"817,000",28,256,60,316
1447,VfL Wolfsburg,Bundesliga,GER,Defender,"817,000",21,75,0,75
1448,RC Lens,Ligue 1 Uber Eats,POR,Forward,"815,000",21,46,0,46
1449,RC Lens,Ligue 1 Uber Eats,GHA,Midfilder,"815,000",22,48,0,48
1450,Getafe,La Liga,POR,Defender,"813,000",27,242,3,245
1451,Valladolid,La Liga,MAR,Midfilder,"807,000",25,159,22,181
1452,Salernitana,Serie A,NOR,Midfilder,"807,000",23,139,0,139
1453,A. Bilbao,La Liga,ESP,Defender,"803,000",29,233,0,233
1454,Torino,Serie A,ENG,Midfilder,"802,000",24,125,0,125
1455,Sassuolo,Serie A,ITA,Goalkeeper,"802,000",41,361,0,361
1456,Sampdoria,Serie A,ITA,Forward,"802,000",39,625,28,653
1457,Udinese,Serie A,ITA,Goalkeeper,"802,000",31,289,0,289
1458,Bournemouth,Premier League,CIV,Midfilder,"802,000",22,139,4,143
1459,Sassuolo,Serie A,ITA,Defender,"802,000",24,102,0,102
1460,Verona,Serie A,ITA,Defender,"802,000",30,316,0,316
1461,Verona,Serie A,ITA,Defender,"802,000",30,286,0,286
1462,Spezia,Serie A,POL,Midfilder,"802,000",24,163,5,168
1463,Verona,Serie A,POR,Midfilder,"802,000",36,400,56,456
1464,Estoril Praia,Primiera Liga,BRA,Forward,"802,000",25,188,0,188
1465,FC Porto,Primiera Liga,BRA,Midfilder,"800,000",24,191,0,191
1466,Hertha Berlin,Bundesliga,URU,Defender,"798,000",24,94,1,95
1467,Bologna,Serie A,GRE,Defender,"797,000",28,222,6,228
1468,Empoli,Serie A,CIV,Midfilder,"797,000",29,226,16,242
1469,Fiorentina,Serie A,CZE,Midfilder,"797,000",27,203,31,234
1470,Salernitana,Serie A,ITA,Forward,"797,000",25,168,0,168
1471,Almeria,La Liga,ESP,Defender,"797,000",23,192,1,193
1472,Spezia,Serie A,ITA,Midfilder,"793,000",21,117,0,117
1473,Sporting CP,Primiera Liga,JPN,Midfilder,"791,000",27,203,15,218
1474,Villarreal,La Liga,ESP,Goalkeeper,"787,000",40,677,36,713
1475,Mallorca,La Liga,ESP,Midfilder,"787,000",23,192,0,192
1476,Reims,Ligue 1 Uber Eats,BEL,Defender,"786,000",22,91,0,91
1477,Vallecano,La Liga,ARG,Midfilder,"785,000",34,482,0,482
1478,Vallecano,La Liga,ESP,Midfilder,"785,000",27,290,0,290
1479,Hertha Berlin,Bundesliga,ENG,Defender,"785,000",25,121,0,121
1480,Benfica,Primiera Liga,POR,Forward,"785,000",21,79,0,79
1481,Eintracht Frankfurt,Bundesliga,CRO,Midfilder,"785,000",25,164,4,168
1482,Hertha Berlin,Bundesliga,NED,Midfilder,"785,000",28,263,1,264
1483,Chelsea,Premier League,ENG,Midfilder,"780,000",18,0,0,0
1484,Nottm Forest,Premier League,IRL,Midfilder,"780,000",32,358,19,377
1485,Chelsea,Premier League,ENG,Midfilder,"780,000",22,114,4,118
1486,Wolves,Premier League,ENG,Goalkeeper,"780,000",29,404,0,404
1487,Brighton,Premier League,PAR,Forward,"780,000",18,59,5,64
1488,Chelsea,Premier League,ENG,Midfilder,"780,000",18,0,0,0
1489,Nottm Forest,Premier League,MSR,Forward,"780,000",32,472,13,485
1490,Brighton,Premier League,ENG,Defender,"780,000",19,32,0,32
1491,Nottm Forest,Premier League,ENG,Forward,"780,000",24,167,0,167
1492,Fulham,Premier League,SVK,Goalkeeper,"780,000",25,192,17,209
1493,Santa Clara,Primiera Liga,POR,Midfilder,"780,000",23,77,0,77
1494,Leeds,Premier League,NOR,Goalkeeper,"780,000",21,99,0,99
1495,Liverpool,Premier League,SCO,Defender,"780,000",19,28,0,28
1496,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,"778,000",29,239,0,239
1497,Torino,Serie A,KOS,Defender,"776,000",27,212,45,257
1498,Fiorentina,Serie A,BRA,Defender,"776,000",24,143,0,143
1499,Bologna,Serie A,ARG,Midfilder,"776,000",24,152,11,163
1500,Capitoline,Serie A,FRA,Defender,"776,000",22,36,0,36
1501,Bologna,Serie A,ITA,Goalkeeper,"776,000",30,256,0,256
1502,Sassuolo,Serie A,GER,Defender,"776,000",28,184,0,184
1503,Real Hispalis,La Liga,BRA,Forward,"776,000",21,77,0,77
1504,Elche,La Liga,ESP,Midfilder,"776,000",23,101,0,101
1505,Atletico Pamplona,La Liga,MAR,Midfilder,"776,000",20,90,0,90
1506,Vigo,La Liga,ESP,Goalkeeper,"774,000",25,120,0,120
1507,OL,Ligue 1 Uber Eats,CIV,Defender,"774,000",21,44,9,53
1508,Schalke 04,Bundesliga,GER,Defender,"774,000",27,234,0,234
1509,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,"774,000",24,117,0,117
1510,Union Berlin,Bundesliga,GER,Midfilder,"774,000",28,276,0,276
1511,VfB Stuttgart,Bundesliga,GER,Defender,"774,000",26,167,0,167
1512,AS Monaco,Ligue 1 Uber Eats,SEN,Defender,"772,000",23,104,0,104
1513,Salernitana,Serie A,NOR,Forward,"770,000",22,124,0,124
1514,Salento,Serie A,ESP,Midfilder,"770,000",20,3,0,3
1515,Salernitana,Serie A,TUN,Defender,"770,000",27,218,35,253
1516,Brianza,Serie A,ITA,Midfilder,"767,000",28,317,0,317
1517,Valencia,La Liga,ESP,Midfilder,"762,000",27,286,0,286
1518,Sporting CP,Primiera Liga,POR,Defender,"756,000",29,270,0,270
1519,Atletico Pamplona,La Liga,ESP,Midfilder,"756,000",28,343,0,343
1520,Sporting CP,Primiera Liga,BRA,Midfilder,"755,000",27,123,0,123
1521,FC Augsburg,Bundesliga,ENG,Defender,"752,000",23,94,0,94
1522,VfL Bochum,Bundesliga,GER,Goalkeeper,"752,000",33,433,0,433
1523,SC Freiburg,Bundesliga,GER,Defender,"752,000",29,319,6,325
1524,Sporting CP,Primiera Liga,POR,Forward,"751,000",27,158,0,158
1525,Borussia M'gladbach,Bundesliga,USA,Defender,"748,000",19,55,2,57
